Player,Min,90s,Age,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Nation,Pos,Comp,Squad,Cluster_KMeans,DBSCAN_Label
Pietro Pellegri,414.0,4.6,23.0,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.3,0.3,0.6,0.9,12.0,8.0,28.0,0.65,0.0,0.65,0.06,0.12,0.19,0.06,0.19,ITA,FW,Serie A,Empoli,1,0
Pietro Terracciano,270.0,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA,GK,Serie A,Fiorentina,2,0
Piotr Zieliński,980.0,10.9,30.0,2.0,2.0,4.0,0.0,2.0,2.0,0.0,0.0,2.6,1.1,0.9,2.0,26.0,65.0,24.0,0.18,0.18,0.37,0.24,0.08,0.32,0.1,0.18,POL,MF,Serie A,Inter,0,0
Plamedi Nsingi,16.0,0.2,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0,1.21,1.21,1.21,,MF,Ligue 1,Nantes,1,0
Pol Lirola,680.0,7.6,26.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.6,0.6,0.7,1.3,12.0,21.0,40.0,0.13,0.26,0.4,0.08,0.09,0.17,0.08,0.17,ESP,DF,Ligue 1,Marseille,3,0
Pol Lozano,1943.0,21.6,24.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.2,0.2,0.8,1.0,18.0,115.0,12.0,0.0,0.05,0.05,0.01,0.04,0.05,0.01,0.05,ESP,MF,La Liga,Espanyol,0,0
Pontus Almqvist,1112.0,12.4,25.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,2.1,2.1,1.3,3.5,42.0,12.0,85.0,0.08,0.08,0.16,0.17,0.11,0.28,0.17,0.28,SWE,"FW,MF",Serie A,Parma,0,0
Portu,779.0,8.7,32.0,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.6,1.6,1.7,3.3,20.0,16.0,79.0,0.11999999999999998,0.23,0.35,0.18999999999999997,0.18999999999999997,0.37999999999999995,0.18999999999999997,0.37999999999999995,ESP,"FW,MF",La Liga,Girona,0,0
Presnel Kimpembe,23.0,0.3,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FRA,DF,Ligue 1,Paris S-G,2,0
Prosper Peter,27.0,0.3,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NGA,"MF,FW",Ligue 1,Angers,2,0
Przemysław Frankowski,1387.0,15.4,29.0,4.0,2.0,6.0,2.0,2.0,2.0,3.0,0.0,2.3,0.7,2.5,3.2,33.0,117.0,95.0,0.26,0.13,0.39000000000000007,0.15,0.16,0.31,0.05,0.21,POL,DF,Ligue 1,Lens,0,0
Péter Gulácsi,2631.0,29.2,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HUN,GK,Bundesliga,RB Leipzig,2,0
Quentin Merlin,1589.0,17.7,22.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,2.1,2.1,3.0,5.0,40.0,86.0,169.0,0.060000000000000005,0.16999999999999998,0.23,0.12000000000000001,0.16999999999999998,0.28,0.12000000000000001,0.28,FRA,DF,Ligue 1,Marseille,5,0
Rabby Nzingoula,1689.0,18.8,18.0,1.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,1.0,1.0,1.6,2.6000000000000005,25.0,40.0,38.0,0.05,0.0,0.05,0.05999999999999999,0.09,0.14,0.05999999999999999,0.14,FRA,MF,Ligue 1,Montpellier,0,0
Radosław Majecki,1350.0,15.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POL,GK,Ligue 1,Monaco,2,0
Radu Drăgușin,1252.0,13.899999999999999,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,7.0,37.0,2.0,0.0,0.0,0.0,0.01,0.029999999999999995,0.04,0.01,0.04,ROU,DF,Premier League,Tottenham,2,0
Rafa Marín,142.0,1.6,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,2.0,5.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,ESP,DF,Serie A,Napoli,2,0
Rafa Mir,753.0,8.4,27.0,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,3.0,3.0,0.7000000000000001,3.8000000000000003,10.0,20.0,28.0,0.12,0.24,0.36,0.36,0.09,0.45,0.36,0.45,ESP,"FW,MF",La Liga,Valencia,1,0
Rafael Bauza,183.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,7.0,3.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,ESP,MF,La Liga,Espanyol,2,0
Rafael Leão,2323.0,25.8,25.0,8.0,8.0,16.0,8.0,0.0,0.0,5.0,0.0,7.6,7.6,8.4,15.900000000000002,123.0,93.0,262.0,0.31,0.31,0.62,0.29,0.32,0.62,0.29,0.62,POR,FW,Serie A,Milan,5,0
Rafael Tolói,468.0,5.2,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,5.0,26.0,5.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,ITA,DF,Serie A,Atalanta,2,0
Rafik Messali,456.0,5.1,21.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.3,13.0,21.0,29.0,0.0,0.2,0.2,0.05,0.2,0.25,0.05,0.25,FRA,DF,Ligue 1,Toulouse,2,0
Raheem Sterling,499.0,5.5,29.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.4,1.4,0.5,1.9,27.0,18.0,79.0,0.0,0.36,0.36,0.26,0.09,0.34,0.26,0.34,ENG,"FW,MF",Premier League,Arsenal,1,0
Ramon Hendriks,1154.0,12.8,23.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,1.0,1.6,8.0,36.0,22.0,0.0,0.08,0.08,0.04,0.08,0.12,0.04,0.12,NED,DF,Bundesliga,Stuttgart,2,0
Ramy Bensebaini,2022.0,22.5,29.0,1.0,6.0,7.0,1.0,0.0,0.0,6.0,0.0,1.3,1.3,3.2,4.5,26.0,128.0,58.0,0.04,0.27,0.31,0.06,0.14,0.2,0.06,0.2,ALG,DF,Bundesliga,Dortmund,0,0
Ramón Martínez,261.0,2.9,21.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,1.0,5.0,2.0,0.34,0.0,0.34,0.12,0.02,0.14,0.12,0.14,ESP,DF,La Liga,Sevilla,2,0
Ramón Sosa,295.0,3.3,24.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.5,12.0,6.0,17.0,0.31,0.0,0.31,0.31,0.15,0.45,0.31,0.45,PAR,"FW,MF",Premier League,Nott'ham Forest,1,0
Ramón Terrats,1113.4237037037037,12.335555555555555,23.0,3.611851851851852,0.902962962962963,4.514814814814815,3.611851851851852,0.0,0.0,1.0,0.0,1.9962222222222223,1.9962222222222223,2.286518518518519,4.273037037037037,7.3207407407407405,33.18592592592593,33.70074074074074,0.2708888888888889,0.06320740740740742,0.3340962962962963,0.14835555555555555,0.19,0.3373851851851852,0.14835555555555555,0.3373851851851852,ESP,"MF,FW",La Liga,Getafe,2,0
Randal Kolo Muani,970.8590250329381,10.801054018445322,25.0,6.58498023715415,1.0,7.58498023715415,5.58498023715415,1.0,1.0,0.0,0.0,4.7,3.9,1.4349143610013173,5.31133069828722,17.934123847167324,16.462450592885375,84.67061923583663,0.591699604743083,0.12009222661396575,0.7117918313570487,0.5510276679841897,0.14122529644268775,0.7022529644268775,0.4603689064558629,0.609235836627141,FRA,FW,Ligue 1,Paris S-G,1,0
Randy Nteka,1129.0,12.5,26.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,2.6,2.6,0.5,3.1,10.0,8.0,44.0,0.24,0.0,0.24,0.21,0.04,0.25,0.21,0.25,ANG,FW,La Liga,Rayo Vallecano,0,0
Rani Khedira,2723.0,30.300000000000004,30.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.4,1.4,0.6,2.1,12.0,80.0,34.0,0.03,0.03,0.07,0.05,0.02,0.07,0.05,0.07,GER,MF,Bundesliga,Union Berlin,0,0
Raoul Bellanova,2321.081960626758,25.801687424668543,24.0,0.0,8.685415829650463,8.685415829650463,0.0,0.0,0.0,2.8951386098834875,0.0,1.0615508236239455,1.0615508236239455,4.539212535154681,5.600763358778626,80.23865006026517,83.95901968662113,184.49859381277622,0.0,0.3281157091201286,0.3281157091201286,0.03965046203294496,0.17615508236239452,0.21615508236239458,0.03965046203294496,0.21615508236239458,ITA,DF,Serie A,Atalanta,5,0
Raphaël Guerreiro,1572.0,17.5,30.0,4.0,4.0,8.0,4.0,0.0,0.0,2.0,0.0,2.9,2.9,2.9,5.8,39.0,85.0,126.0,0.23,0.23,0.46,0.16,0.17,0.33,0.16,0.33,POR,"DF,MF",Bundesliga,Bayern Munich,5,0
Raphinha,2839.0,31.5,27.0,18.0,9.0,27.0,16.0,2.0,2.0,4.0,0.0,19.2,17.6,12.7,30.3,94.0,135.0,349.0,0.57,0.29,0.86,0.61,0.4,1.01,0.56,0.96,BRA,"FW,MF",La Liga,Barcelona,5,-1
Rareş Ilie,13.0,0.1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,2.0,3.0,1.0,0.0,0.0,0.0,0.25,2.4699999999999998,2.7199999999999998,0.25,2.7199999999999998,ROU,MF,Ligue 1,Nice,1,-1
Rareș-Cătălin Burnete,28.0,0.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,4.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,ROU,FW,Serie A,Lecce,2,0
Rasmus Højlund,2004.0,22.3,21.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,5.3,5.3,1.8,7.1,28.0,18.0,101.0,0.18,0.0,0.18,0.24,0.08,0.32,0.24,0.32,DEN,FW,Premier League,Manchester Utd,2,0
Rasmus Kristensen,2513.0,27.9,27.0,5.0,3.0,8.0,5.0,0.0,0.0,4.0,0.0,2.5,2.5,3.1,5.6,51.0,172.0,162.0,0.18,0.11,0.29,0.09,0.11,0.2,0.09,0.2,DEN,DF,Bundesliga,Eint Frankfurt,5,0
Rasmus Nicolaisen,623.0,6.8999999999999995,27.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.7,3.0,27.0,2.0,0.0,0.14,0.14,0.05999999999999999,0.029999999999999995,0.1,0.05999999999999999,0.1,DEN,DF,Ligue 1,Toulouse,2,0
Rassoul Ndiaye,1061.0,11.8,22.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.7,1.7,0.6,2.4,6.0,46.0,30.0,0.08,0.0,0.08,0.15,0.05,0.2,0.15,0.2,SEN,MF,Ligue 1,Le Havre,2,0
Rayan Aït-Nouri,3109.0,34.5,23.0,4.0,7.0,11.0,4.0,0.0,0.0,7.0,1.0,2.7,2.7,5.5,8.2,89.0,108.0,176.0,0.12,0.2,0.32,0.08,0.16,0.24,0.08,0.24,ALG,DF,Premier League,Wolves,5,0
Rayan Cherki,2041.0,22.7,20.0,8.0,11.0,19.0,8.0,0.0,0.0,3.0,0.0,5.0,5.0,11.1,16.1,106.0,206.0,184.0,0.35,0.49,0.84,0.22,0.49,0.71,0.22,0.71,FRA,"FW,MF",Ligue 1,Lyon,5,-1
Rayan Fofana,25.0,0.3,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FRA,"FW,MF",Ligue 1,Lens,2,0
Rayan Raveloson,724.0,8.0,27.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.2,1.0,5.0,31.0,12.0,0.12,0.0,0.12,0.1,0.02,0.12,0.1,0.12,MAD,"MF,DF",Ligue 1,Auxerre,2,0
Razvan Sava,1080.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROU,GK,Serie A,Udinese,2,0
Raúl,750.0,8.3,23.0,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,3.5,3.5,0.7,4.1,10.0,16.0,49.0,0.48,0.0,0.48,0.41,0.08,0.5,0.41,0.5,ESP,"FW,MF",La Liga,Osasuna,1,0
Raúl Albiol,1188.0,13.2,38.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.0,0.1,3.0,34.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,ESP,DF,La Liga,Villarreal,0,0
